anion,T,trail,theta,theta_se
tfsi,298,1.5,0.082545,0.012908
tfsi,298,1.6,0.085771,0.014017
tfsi,298,1.7,0.089691,0.014724
tfsi,298,1.8,0.092879,0.01559
tfsi,298,1.9,0.095331,0.016239
tfsi,298,2.0,0.096871,0.016292
tfsi,298,2.5,0.11583,0.01963
tfsi,298,3.0,0.128078,0.020086
tfsi,298,3.5,0.140898,0.021826
tfsi,298,4.0,0.161033,0.025302
tfsi,298,4.5,0.16986,0.025176
tfsi,298,5.0,0.176103,0.028176
tfsi,298,5.5,0.185648,0.028636
tfsi,298,6.0,0.193857,0.031381
tfsi,298,6.5,0.199991,0.03308
tfsi,298,7.0,0.204405,0.032019
tfsi,298,7.5,0.206337,0.031203
tfsi,298,8.0,0.20659,0.028161
tfsi,298,8.5,0.219139,0.032987
tfsi,298,9.0,0.223684,0.03552
tfsi,298,9.5,0.237914,0.041472
tfsi,298,10.0,0.241059,0.045769
tfsi,353,0.1,0.018522,0.002159
tfsi,353,0.2,0.028114,0.003068
tfsi,353,0.3,0.035754,0.003821
tfsi,353,0.4,0.043028,0.003906
tfsi,353,0.5,0.049772,0.004879
tfsi,353,0.6,0.05628,0.005188
tfsi,353,0.7,0.064504,0.005881
tfsi,353,0.8,0.071194,0.006259
tfsi,353,0.9,0.0768,0.00648
tfsi,353,1.0,0.082744,0.006702
tfsi,353,1.1,0.085442,0.007299
tfsi,353,1.2,0.09134,0.007752
tfsi,353,1.3,0.097064,0.008284
tfsi,353,1.4,0.101708,0.008013
tfsi,353,1.5,0.10519,0.00858
tfsi,353,1.6,0.110058,0.008692
tfsi,353,1.7,0.115463,0.010042
tfsi,353,1.8,0.120968,0.011139
tfsi,353,1.9,0.127624,0.012096
tfsi,353,2.0,0.131041,0.012269
tfsi,353,2.5,0.151998,0.015405
tfsi,353,3.0,0.170893,0.017712
tfsi,353,3.5,0.193251,0.020492
tfsi,353,4.0,0.213373,0.022657
tfsi,353,4.5,0.228011,0.023545
tfsi,353,5.0,0.245728,0.021922
tfsi,353,5.5,0.271435,0.020264
tfsi,353,6.0,0.284666,0.021834
tfsi,353,6.5,0.299159,0.021993
tfsi,353,7.0,0.306267,0.021971
tfsi,353,7.5,0.318003,0.017413
tfsi,353,8.0,0.327644,0.018075
tfsi,353,8.5,0.344482,0.02209
tfsi,353,9.0,0.351998,0.023428
tfsi,353,9.5,0.34968,0.028592
tfsi,353,10.0,0.370158,0.027978
tfsi,373,0.1,0.01955,0.002209
tfsi,373,0.2,0.02992,0.003238
tfsi,373,0.3,0.04086,0.004061
tfsi,373,0.4,0.04904,0.004778
tfsi,373,0.5,0.055928,0.005833
tfsi,373,0.6,0.06464,0.006493
tfsi,373,0.7,0.071932,0.007228
tfsi,373,0.8,0.079998,0.008494
tfsi,373,0.9,0.086948,0.008769
tfsi,373,1.0,0.092852,0.00902
tfsi,373,1.1,0.100628,0.00933
tfsi,373,1.2,0.105102,0.009897
tfsi,373,1.3,0.113014,0.010114
tfsi,373,1.4,0.120558,0.010515
tfsi,373,1.5,0.126348,0.00963
tfsi,373,1.6,0.133285,0.00956
tfsi,373,1.7,0.1399,0.009359
tfsi,373,1.8,0.145522,0.008863
tfsi,373,1.9,0.151863,0.00968
tfsi,373,2.0,0.157126,0.00985
tfsi,373,2.5,0.190917,0.010787
tfsi,373,3.0,0.221831,0.015443
tfsi,373,3.5,0.247566,0.016131
tfsi,373,4.0,0.272009,0.014563
tfsi,373,4.5,0.294079,0.016189
tfsi,373,5.0,0.319191,0.014735
tfsi,373,5.5,0.343233,0.014068
tfsi,373,6.0,0.356073,0.013333
tfsi,373,6.5,0.372412,0.015861
tfsi,373,7.0,0.388097,0.019013
tfsi,373,7.5,0.398707,0.021866
tfsi,373,8.0,0.412525,0.017087
tfsi,373,8.5,0.401554,0.022797
tfsi,373,9.0,0.406575,0.024178
tfsi,373,9.5,0.41015,0.02696
tfsi,373,10.0,0.420839,0.025332
tfsi,423,0.1,0.02275,0.000236
tfsi,423,0.2,0.034356,0.000482
tfsi,423,0.3,0.048624,0.001445
tfsi,423,0.4,0.059078,0.001603
tfsi,423,0.5,0.068128,0.001658
tfsi,423,0.6,0.080184,0.00209
tfsi,423,0.7,0.089738,0.002208
tfsi,423,0.8,0.101074,0.002777
tfsi,423,0.9,0.109172,0.004071
tfsi,423,1.0,0.11751,0.003912
tfsi,423,1.1,0.127662,0.004048
tfsi,423,1.2,0.13654,0.003994
tfsi,423,1.3,0.147332,0.004181
tfsi,423,1.4,0.153336,0.00431
tfsi,423,1.5,0.160882,0.005093
tfsi,423,1.6,0.171394,0.005118
tfsi,423,1.7,0.177104,0.005214
tfsi,423,1.8,0.184826,0.005428
tfsi,423,1.9,0.192874,0.00534
tfsi,423,2.0,0.200396,0.005675
tfsi,423,2.5,0.240221,0.003902
tfsi,423,3.0,0.27609,0.004064
tfsi,423,3.5,0.311055,0.004808
tfsi,423,4.0,0.335586,0.007324
tfsi,423,4.5,0.365231,0.008554
tfsi,423,5.0,0.393237,0.006732
tfsi,423,5.5,0.41544,0.009286
tfsi,423,6.0,0.434969,0.00829
tfsi,423,6.5,0.454568,0.006517
tfsi,423,7.0,0.482641,0.013821
tfsi,423,7.5,0.50096,0.01662
tfsi,423,8.0,0.507298,0.017615
tfsi,423,8.5,0.530244,0.024406
tfsi,423,9.0,0.543441,0.021579
tfsi,423,9.5,0.569036,0.019946
tfsi,423,10.0,0.58326,0.019007
beti,298,0.1,0.012842,0.00464
beti,298,0.2,0.019928,0.007985
beti,298,0.3,0.024582,0.010171
beti,298,0.4,0.02936,0.01243
beti,298,0.5,0.033378,0.014801
beti,298,0.6,0.038704,0.018481
beti,298,0.7,0.042644,0.020365
beti,298,0.8,0.04589,0.020537
beti,298,0.9,0.048494,0.020955
beti,298,1.0,0.053234,0.022709
beti,298,1.1,0.058172,0.02566
beti,298,1.2,0.06275,0.026854
beti,298,1.3,0.06469,0.027367
beti,298,1.4,0.068852,0.028414
beti,298,1.5,0.072406,0.029495
beti,298,1.6,0.075798,0.030673
beti,298,1.7,0.076836,0.031033
beti,298,1.8,0.077916,0.031463
beti,298,1.9,0.07909,0.032002
beti,298,2.0,0.080892,0.032416
beti,298,2.5,0.098474,0.035929
beti,298,3.0,0.106914,0.036394
beti,298,3.5,0.119898,0.040134
beti,298,4.0,0.132558,0.039989
beti,298,4.5,0.14448,0.03793
beti,298,5.0,0.154702,0.037365
beti,298,5.5,0.159696,0.038914
beti,298,6.0,0.1687,0.038722
beti,298,6.5,0.169097,0.037553
beti,298,7.0,0.172085,0.037782
beti,298,7.5,0.174249,0.037461
beti,298,8.0,0.170113,0.040554
beti,298,8.5,0.187833,0.047974
beti,298,9.0,0.192393,0.052024
beti,298,9.5,0.192709,0.049137
beti,298,10.0,0.201826,0.054745
beti,353,0.1,0.016492,0.002543
beti,353,0.2,0.025942,0.003945
beti,353,0.3,0.032768,0.003992
beti,353,0.4,0.039388,0.004444
beti,353,0.5,0.0446,0.005044
beti,353,0.6,0.05025,0.005977
beti,353,0.7,0.054676,0.006328
beti,353,0.8,0.061144,0.007051
beti,353,0.9,0.065338,0.007818
beti,353,1.0,0.0711,0.008261
beti,353,1.1,0.076252,0.007826
beti,353,1.2,0.081934,0.008253
beti,353,1.3,0.086577,0.009091
beti,353,1.4,0.090929,0.009232
beti,353,1.5,0.094635,0.009778
beti,353,1.6,0.099359,0.011454
beti,353,1.7,0.104127,0.011333
beti,353,1.8,0.109158,0.010869
beti,353,1.9,0.113894,0.010591
beti,353,2.0,0.120099,0.011666
beti,353,2.5,0.141986,0.01638
beti,353,3.0,0.165535,0.020611
beti,353,3.5,0.183794,0.021338
beti,353,4.0,0.207607,0.023667
beti,353,4.5,0.219656,0.023334
beti,353,5.0,0.240417,0.0218
beti,353,5.5,0.265662,0.019171
beti,353,6.0,0.280203,0.018248
beti,353,6.5,0.290349,0.017442
beti,353,7.0,0.306081,0.018742
beti,353,7.5,0.314506,0.019132
beti,353,8.0,0.323419,0.016783
beti,353,8.5,0.328549,0.014337
beti,353,9.0,0.342563,0.01601
beti,353,9.5,0.353583,0.015838
beti,353,10.0,0.34599,0.025351
beti,373,0.1,0.020412,0.000911
beti,373,0.2,0.029776,0.001378
beti,373,0.3,0.03744,0.002051
beti,373,0.4,0.044902,0.002557
beti,373,0.5,0.051828,0.003142
beti,373,0.6,0.059262,0.003737
beti,373,0.7,0.065036,0.004302
beti,373,0.8,0.069394,0.004965
beti,373,0.9,0.075128,0.005591
beti,373,1.0,0.079672,0.005433
beti,373,1.1,0.084136,0.005752
beti,373,1.2,0.090694,0.005959
beti,373,1.3,0.096114,0.005971
beti,373,1.4,0.102134,0.005954
beti,373,1.5,0.106644,0.006641
beti,373,1.6,0.112428,0.006743
beti,373,1.7,0.117152,0.006541
beti,373,1.8,0.12328,0.006733
beti,373,1.9,0.12928,0.006297
beti,373,2.0,0.134162,0.005353
beti,373,2.5,0.153702,0.004171
beti,373,3.0,0.184982,0.006042
beti,373,3.5,0.208076,0.005896
beti,373,4.0,0.226512,0.00781
beti,373,4.5,0.24236,0.007749
beti,373,5.0,0.263422,0.008913
beti,373,5.5,0.285227,0.011848
beti,373,6.0,0.305036,0.012347
beti,373,6.5,0.329435,0.015908
beti,373,7.0,0.334749,0.012245
beti,373,7.5,0.358186,0.012204
beti,373,8.0,0.367711,0.016175
beti,373,8.5,0.38904,0.020172
beti,373,9.0,0.394903,0.022537
beti,373,9.5,0.404634,0.020997
beti,373,10.0,0.408298,0.020466
beti,423,0.1,0.022826,0.001129
beti,423,0.2,0.034536,0.001764
beti,423,0.3,0.045538,0.001983
beti,423,0.4,0.055245,0.002599
beti,423,0.5,0.064742,0.002638
beti,423,0.6,0.072944,0.003228
beti,423,0.7,0.08183,0.003903
beti,423,0.8,0.089818,0.004225
beti,423,0.9,0.099342,0.004446
beti,423,1.0,0.107604,0.004503
beti,423,1.1,0.11413,0.005312
beti,423,1.2,0.122762,0.005738
beti,423,1.3,0.131215,0.006131
beti,423,1.4,0.138402,0.007026
beti,423,1.5,0.148552,0.007092
beti,423,1.6,0.159168,0.008487
beti,423,1.7,0.166762,0.008677
beti,423,1.8,0.176331,0.009458
beti,423,1.9,0.183164,0.008877
beti,423,2.0,0.19086,0.009598
beti,423,2.5,0.232898,0.00989
beti,423,3.0,0.272246,0.009174
beti,423,3.5,0.308125,0.009222
beti,423,4.0,0.339136,0.01164
beti,423,4.5,0.372335,0.012873
beti,423,5.0,0.394736,0.013586
beti,423,5.5,0.418252,0.015281
beti,423,6.0,0.436412,0.015034
beti,423,6.5,0.461914,0.015981
beti,423,7.0,0.476003,0.020118
beti,423,7.5,0.488789,0.018069
beti,423,8.0,0.504527,0.014776
beti,423,8.5,0.523808,0.020976
beti,423,9.0,0.55926,0.025544
beti,423,9.5,0.570777,0.032077
beti,423,10.0,0.589347,0.034856
