anion,T,event_type,state,A_N,A_lo_95,A_hi_95
beti,298,event#2(Pair_breaking;survival),hard,0.319965,0.219483,0.386257
beti,353,event#2(Pair_breaking;survival),soft,0.385394,0.352889,0.421519
beti,353,event#2(Pair_breaking;survival),hard,0.112431,0.068323,0.150375
beti,373,event#2(Pair_breaking;survival),soft,0.353216,0.332099,0.376328
beti,373,event#2(Pair_breaking;survival),hard,0.172997,0.118832,0.213363
beti,423,event#2(Pair_breaking;survival),soft,0.299012,0.266444,0.336082
beti,423,event#2(Pair_breaking;survival),hard,0.113203,0.072032,0.150091
beti,298,soft_hard_duration,soft,0.302217,0.150950,0.381341
beti,298,soft_hard_duration,hard,0.333540,0.227611,0.410001
beti,353,soft_hard_duration,soft,0.141324,-0.005495,0.243895
beti,353,soft_hard_duration,hard,0.126155,0.083991,0.165296
beti,373,soft_hard_duration,soft,0.091563,0.020538,0.141754
beti,373,soft_hard_duration,hard,0.141605,0.103258,0.178666
beti,423,soft_hard_duration,soft,0.045066,-0.028680,0.108885
beti,423,soft_hard_duration,hard,0.052481,0.025417,0.077609
beti,298,x_total,total,0.766785,0.724241,0.799244
beti,353,x_total,total,0.608189,0.589255,0.627111
beti,373,x_total,total,0.592750,0.573390,0.612150
beti,423,x_total,total,0.460965,0.447485,0.474158
