anion,T,trail,alpha_soft,alpha_soft_se,alpha_hard,alpha_hard_se
beti,423,0.5,0.01510351,0.0026422,0.00362633,0.00020188
beti,423,0.6,0.01479245,0.00223771,0.00361258,0.00019902
beti,423,0.7,0.01529032,0.00206063,0.00361188,0.00019423
beti,423,0.8,0.01527959,0.00161334,0.003629,0.00020155
beti,423,0.9,0.01377985,0.00140553,0.00362942,0.00020296
beti,423,1.0,0.01243104,0.0013361,0.0036298,0.00020289
beti,423,1.1,0.01196655,0.00117171,0.00362773,0.00020274
beti,423,1.2,0.01221227,0.00096413,0.00362609,0.00020362
beti,423,1.3,0.01240634,0.0009825,0.00370036,0.00021228
beti,423,1.4,0.01176387,0.00092298,0.0037476,0.00020935
beti,423,1.5,0.01023018,0.00088458,0.00374137,0.00021967
beti,423,1.6,0.00958356,0.00076943,0.00368559,0.00020781
beti,423,1.7,0.00866826,0.0007544,0.00368222,0.0002124
beti,423,1.8,0.00799771,0.00067488,0.00357053,0.00023169
beti,423,1.9,0.00781204,0.00063642,0.00356656,0.00021189
beti,423,2.0,0.00768568,0.00055289,0.00355714,0.00021015
beti,423,2.5,0.00393197,0.00049907,0.00351457,0.00022773
beti,423,3.0,0.00378352,0.0003247,0.00346278,0.00021363
beti,423,3.5,0.00332345,0.00024745,0.00337759,0.00021104
beti,423,4.0,0.00252917,0.00020248,0.00307604,0.00020746
beti,423,4.5,0.00227974,0.00016244,0.00283142,0.00019679
beti,423,5.0,0.00201564,0.0001281,0.00241636,0.00017444
beti,423,5.5,0.00163572,0.00013476,0.00202063,0.0001872
beti,423,6.0,0.00144522,0.0001222,0.00177503,0.00018437
beti,423,6.5,0.00106417,9.088e-05,0.00153926,0.0001912
beti,423,7.0,0.00090064,8.679e-05,0.00084555,0.00015141
beti,423,7.5,0.00081353,7.94e-05,0.00062049,0.00013158
beti,423,8.0,0.00071615,7.636e-05,0.00060465,0.00011377
beti,423,8.5,0.0005105,5.602e-05,0.00051972,0.00010994
beti,423,9.0,0.00037476,5.417e-05,0.00057031,0.00010833
beti,423,9.5,0.00031323,4.223e-05,0.00038705,8.655e-05
beti,423,10.0,0.00029083,3.628e-05,0.0002057,8.036e-05
